column,method,seed,mae,rmse,mse,r2,mape,median_absolute_error,bias,percentage_bias,variance_distortion,std_distortion,ks_statistic,wasserstein_distance,correlation_preservation,distribution_similarity,runtime_seconds
holiday_flag,median,11,0.03888888888888889,0.19720265943665388,0.03888888888888889,-0.04046242774566444,100.0,0.0,-0.03888888888888889,-100.0,0.9999997324525901,0.9999999482750105,0.03888888888888886,0.03888888888888886,0.0,0.9611111111111111,0.004182999997283332
holiday_flag,median,29,0.022222222222222223,0.14907119849998599,0.022222222222222223,-0.022727272727272707,100.0,0.0,-0.022222222222222223,-100.0,0.999999539772939,0.9999999321599521,0.022222222222222143,0.022222222222222254,0.0,0.9777777777777779,0.0037932999985059723
holiday_flag,mode,11,0.03888888888888889,0.19720265943665388,0.03888888888888889,-0.04046242774566444,100.0,0.0,-0.03888888888888889,-100.0,0.9999997324525901,0.9999999482750105,0.03888888888888886,0.03888888888888886,0.0,0.9611111111111111,0.004051300005812664
holiday_flag,mode,29,0.022222222222222223,0.14907119849998599,0.022222222222222223,-0.022727272727272707,100.0,0.0,-0.022222222222222223,-100.0,0.999999539772939,0.9999999321599521,0.022222222222222143,0.022222222222222254,0.0,0.9777777777777779,0.004653300005884375
holiday_flag,forward_fill,11,0.05740740740740741,0.23959842947608695,0.05740740740740741,-0.5359207266721715,100.0,0.0,-0.020370370370370372,-52.38095238095238,0.5137167173137033,0.30265993441039446,0.020370370370370372,0.020370370370370372,-0.027630454808726407,0.9796296296296296,0.020730999996885657
holiday_flag,forward_fill,29,0.05740740740740741,0.23959842947608695,0.05740740740740741,-1.6420454545454541,100.0,0.0,0.012962962962962963,58.333333333333336,0.5623419129120862,0.24993685013683384,0.012962962962962954,0.012962962962962954,-0.02878933283130666,0.987037037037037,0.02203850000660168
holiday_flag,backward_fill,11,0.07962962962962963,0.2821872244266732,0.07962962962962963,-1.1304706853839797,100.0,0.0,0.001851851851851852,4.761904761904762,0.04560050160830664,0.022546092566798,0.0018518518518518823,0.0018518518518518823,-0.04145457136755389,0.9981481481481481,0.0209545000034268
holiday_flag,backward_fill,29,0.05555555555555555,0.23570226039551584,0.05555555555555555,-1.5568181818181817,100.0,0.0,0.011111111111111112,50.0,0.4829543231857939,0.21776619655571275,0.011111111111111183,0.011111111111111072,-0.027994625547792775,0.9888888888888888,0.020904600001813378
holiday_flag,linear_interpolation,11,0.06851851851851852,0.2329030424028287,0.05424382716049382,-0.4512799339388931,100.0,0.0,-0.00925925925925926,-23.809523809523814,0.6126707233188522,0.3776422756353529,0.03888888888888886,0.02685185185185184,-0.04953504413674068,0.9611111111111111,0.025954400000046007
holiday_flag,linear_interpolation,29,0.05648148148148148,0.19889095798634054,0.039557613168724276,-0.8205492424242422,100.0,0.0,0.012037037037037037,54.166666666666664,0.25619464219324883,0.13755854923620406,0.04629629629629639,0.033024691358024695,-0.04062638586767023,0.9537037037037036,0.02595100000326056
